PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29906016","Dermatology on Google","Hill MK, Patel RR, Anand P, Dellavalle RP.","Dermatol Online J. 2018 Apr 15;24(4):13030/qt6cz3q82h.","Hill MK","Dermatol Online J","2018","2018/06/16","","",""
"29922286","Fake News or Weak Science? Visibility and Characterization of Antivaccine Webpages Returned by Google in Different Languages and Countries","Arif N, Al-Jefri M, Bizzi IH, Perano GB, Goldman M, Haq I, Chua KL, Mengozzi M, Neunez M, Smith H, Ghezzi P.","Front Immunol. 2018 Jun 5;9:1215. doi: 10.3389/fimmu.2018.01215. eCollection 2018.","Arif N","Front Immunol","2018","2018/06/21","PMC5996113","","10.3389/fimmu.2018.01215"
"26888071","Best of BJSM online: highlights from the blog, podcasts, YouTube page, Google+ and more!","Khan K.","Br J Sports Med. 2016 Mar;50(5):258. doi: 10.1136/bjsports-2016-096014.","Khan K","Br J Sports Med","2016","2016/02/19","","","10.1136/bjsports-2016-096014"
"17884971","Comparison of PubMed, Scopus, Web of Science, and Google Scholar: strengths and weaknesses","Falagas ME, Pitsouni EI, Malietzis GA, Pappas G.","FASEB J. 2008 Feb;22(2):338-42. doi: 10.1096/fj.07-9492LSF. Epub 2007 Sep 20.","Falagas ME","FASEB J","2008","2007/09/22","","","10.1096/fj.07-9492LSF"
"30346492","Google Ranking of Plastic Surgeons Values Social Media Presence Over Academic Pedigree and Experience","Dorfman RG, Mahmood E, Ren A, Turin SY, Vaca EE, Fine NA, Schierle CF.","Aesthet Surg J. 2019 Mar 14;39(4):447-451. doi: 10.1093/asj/sjy285.","Dorfman RG","Aesthet Surg J","2019","2018/10/23","","","10.1093/asj/sjy285"
"29951201","Biased online media coverage: chiropractic and stroke in google news","Al-Azdee M, Perle SM, He B.","Chiropr Man Therap. 2018 Jun 21;26:21. doi: 10.1186/s12998-018-0189-8. eCollection 2018.","Al-Azdee M","Chiropr Man Therap","2018","2018/06/29","PMC6011337","","10.1186/s12998-018-0189-8"
"30126832","A Process Evaluation of a Web-Based Mental Health Portal (WalkAlong) Using Google Analytics","Song MJ, Ward J, Choi F, Nikoo M, Frank A, Shams F, Tabi K, Vigo D, Krausz M.","JMIR Ment Health. 2018 Aug 20;5(3):e50. doi: 10.2196/mental.8594.","Song MJ","JMIR Ment Health","2018","2018/08/22","PMC6121139","","10.2196/mental.8594"
"31412380","All I Have Learned, I Have Learned from Google: Why Today's Facial Rejuvenation Patients are Prone to Misinformation, and the Steps We can take to Contend with Unreliable Information","Mehta N, Gupta A, Nissan M.","Facial Plast Surg. 2019 Aug;35(4):387-392. doi: 10.1055/s-0039-1693033. Epub 2019 Aug 14.","Mehta N","Facial Plast Surg","2019","2019/08/15","","","10.1055/s-0039-1693033"
"29483069","Open Availability of Patient Medical Photographs in Google Images Search Results: Cross-Sectional Study of Transgender Research","Marshall Z, Brunger F, Welch V, Asghari S, Kaposy C.","J Med Internet Res. 2018 Feb 26;20(2):e70. doi: 10.2196/jmir.8787.","Marshall Z","J Med Internet Res","2018","2018/02/28","PMC5847816","","10.2196/jmir.8787"
"29389757","Gendered Innovations in Orthopaedic Science: The Google Memo: Context for Women in Orthopaedics?","Page AE.","Clin Orthop Relat Res. 2018 Jan;476(1):25-27. doi: 10.1007/s11999.0000000000000032.","Page AE","Clin Orthop Relat Res","2018","2018/02/02","PMC5919241","","10.1007/s11999.0000000000000032"
"29353371","A Systematic Assessment of Google Search Queries and Readability of Online Gynecologic Oncology Patient Education Materials","Martin A, Stewart JR, Gaskins J, Medlin E.","J Cancer Educ. 2019 Jun;34(3):435-440. doi: 10.1007/s13187-017-1319-z.","Martin A","J Cancer Educ","2019","2018/01/22","","","10.1007/s13187-017-1319-z"
"30545812","Website Analytics of a Google Ads Campaign for a Men's Mental Health Website: Comparative Analysis","Murphy AL, Peltekian S, Gardner DM.","JMIR Ment Health. 2018 Dec 13;5(4):e12428. doi: 10.2196/12428.","Murphy AL","JMIR Ment Health","2018","2018/12/15","PMC6315231","","10.2196/12428"
"30142201","Capturing the influence of geopolitical ties from Wikipedia with reduced Google matrix","El Zant S, Jaffrès-Runser K, Shepelyansky DL.","PLoS One. 2018 Aug 24;13(8):e0201397. doi: 10.1371/journal.pone.0201397. eCollection 2018.","El Zant S","PLoS One","2018","2018/08/25","PMC6108488","","10.1371/journal.pone.0201397"
"29461342","Leveraging Google Trends, Twitter, and Wikipedia to Investigate the Impact of a Celebrity's Death From Rheumatoid Arthritis","Mahroum N, Bragazzi NL, Sharif K, Gianfredi V, Nucci D, Rosselli R, Brigo F, Adawi M, Amital H, Watad A.","J Clin Rheumatol. 2018 Jun;24(4):188-192. doi: 10.1097/RHU.0000000000000692.","Mahroum N","J Clin Rheumatol","2018","2018/02/21","","","10.1097/RHU.0000000000000692"
"30761370","PageRank's ability to track webpage quality: reconciling Google's wisdom-of-crowds justification with the scale-free structure of the web","Masterton G, Olsson EJ.","Heliyon. 2018 Nov 28;4(11):e00978. doi: 10.1016/j.heliyon.2018.e00978. eCollection 2018 Nov.","Masterton G","Heliyon","2018","2019/02/15","PMC6275164","","10.1016/j.heliyon.2018.e00978"
"23948488","Retrieving clinical evidence: a comparison of PubMed and Google Scholar for quick clinical searches","Shariff SZ, Bejaimal SA, Sontrop JM, Iansavichus AV, Haynes RB, Weir MA, Garg AX.","J Med Internet Res. 2013 Aug 15;15(8):e164. doi: 10.2196/jmir.2624.","Shariff SZ","J Med Internet Res","2013","2013/08/17","PMC3757915","","10.2196/jmir.2624"
"29029693","What can Google and Wikipedia can tell us about a disease? Big Data trends analysis in Systemic Lupus Erythematosus","Sciascia S, Radin M.","Int J Med Inform. 2017 Nov;107:65-69. doi: 10.1016/j.ijmedinf.2017.09.002. Epub 2017 Sep 14.","Sciascia S","Int J Med Inform","2017","2017/10/15","","","10.1016/j.ijmedinf.2017.09.002"
"31607822","What can we do about Dr. Google? Using the electronic medical record (EMR) to prescribe reliable online patient education","Volk R, Obeid N.","J Med Libr Assoc. 2019 Oct;107(4):606-608. doi: 10.5195/jmla.2019.774. Epub 2019 Oct 1.","Volk R","J Med Libr Assoc","2019","2019/10/15","PMC6774556","","10.5195/jmla.2019.774"
"26320470","Utilization of Google Earth for Distribution Mapping of Cholangiocarcinoma: a Case Study in Satuek District, Buriram, Thailand","Rattanasing W, Kaewpitoon SJ, Loyd RA, Rujirakul R, Yodkaw E, Kaewpitoon N.","Asian Pac J Cancer Prev. 2015;16(14):5903-6. doi: 10.7314/apjcp.2015.16.14.5903.","Rattanasing W","Asian Pac J Cancer Prev","2015","2015/09/01","","","10.7314/apjcp.2015.16.14.5903"
"25280183","Google unveils a glimpse of allergic rhinitis in the real world","Kang MG, Song WJ, Choi S, Kim H, Ha H, Kim SH, Cho SH, Min KU, Yoon S, Chang YS.","Allergy. 2015 Jan;70(1):124-8. doi: 10.1111/all.12528. Epub 2014 Nov 14.","Kang MG","Allergy","2015","2014/10/04","","","10.1111/all.12528"
"23981848","A method for the design and development of medical or health care information websites to optimize search engine results page rankings on Google","Dunne S, Cummins NM, Hannigan A, Shannon B, Dunne C, Cullen W.","J Med Internet Res. 2013 Aug 27;15(8):e183. doi: 10.2196/jmir.2632.","Dunne S","J Med Internet Res","2013","2013/08/29","PMC3758043","","10.2196/jmir.2632"
"27891072","Estimating Propensity Parameters Using Google PageRank and Genetic Algorithms","Murrugarra D, Miller J, Mueller AN.","Front Neurosci. 2016 Nov 11;10:513. doi: 10.3389/fnins.2016.00513. eCollection 2016.","Murrugarra D","Front Neurosci","2016","2016/11/29","PMC5104906","","10.3389/fnins.2016.00513"
"26379270","The Role of Google Scholar in Evidence Reviews and Its Applicability to Grey Literature Searching","Haddaway NR, Collins AM, Coughlin D, Kirk S.","PLoS One. 2015 Sep 17;10(9):e0138237. doi: 10.1371/journal.pone.0138237. eCollection 2015.","Haddaway NR","PLoS One","2015","2015/09/18","PMC4574933","","10.1371/journal.pone.0138237"
"27039762","GIS Database and Google Map of the Population at Risk of Cholangiocarcinoma in Mueang Yang District, Nakhon Ratchasima Province of Thailand","Kaewpitoon SJ, Rujirakul R, Joosiri A, Jantakate S, Sangkudloa A, Kaewthani S, Chimplee K, Khemplila K, Kaewpitoon N.","Asian Pac J Cancer Prev. 2016;17(3):1293-7. doi: 10.7314/apjcp.2016.17.3.1293.","Kaewpitoon SJ","Asian Pac J Cancer Prev","2016","2016/04/05","","","10.7314/apjcp.2016.17.3.1293"
"26262305","Developing an Open-Source Bibliometric Ranking Website Using Google Scholar Citation Profiles for Researchers in the Field of Biomedical Informatics","Sittig DF, McCoy AB, Wright A, Lin J.","Stud Health Technol Inform. 2015;216:1004.","Sittig DF","Stud Health Technol Inform","2015","2015/08/12","","",""
"30135813","Google analytics of a pilot mass and social media campaign targeting Hispanics about living kidney donation","Gordon EJ, Shand J, Black A.","Internet Interv. 2016 Sep 20;6:40-49. doi: 10.1016/j.invent.2016.09.002. eCollection 2016 Nov.","Gordon EJ","Internet Interv","2016","2018/08/24","PMC6096307","","10.1016/j.invent.2016.09.002"
"23351574","Google Internet searches on residency applicants do not facilitate the ranking process","Shin NC, Ramoska EA, Garg M, Rowh A, Nyce D, Deroos F, Carter M, Hall RV, Lopez BL; Delaware Valley EM Residency Program Directors Group.","J Emerg Med. 2013 May;44(5):995-8. doi: 10.1016/j.jemermed.2012.09.032. Epub 2013 Jan 23.","Shin NC","J Emerg Med","2013","2013/01/29","","","10.1016/j.jemermed.2012.09.032"
"32272783","Is There Decreasing Public Interest in Renal Transplantation? A Google Trends(TM) Analysis","Kronbichler A, Effenberger M, Shin JI, Koppelstätter C, Denicolò S, Rudnicki M, Neuwirt H, Soler MJ, Stevens K, Bruchfeld A, Tilg H, Mayer G, Perco P.","J Clin Med. 2020 Apr 7;9(4):1048. doi: 10.3390/jcm9041048.","Kronbichler A","J Clin Med","2020","2020/04/11","PMC7231300","","10.3390/jcm9041048"
"18971452","Promise and pitfalls of extending Google's PageRank algorithm to citation networks","Maslov S, Redner S.","J Neurosci. 2008 Oct 29;28(44):11103-5. doi: 10.1523/JNEUROSCI.0002-08.2008.","Maslov S","J Neurosci","2008","2008/10/31","PMC6671494","","10.1523/JNEUROSCI.0002-08.2008"
"26697012","Bad News: Analysis of the Quality of Information on Influenza Prevention Returned by Google in English and Italian","Maki A, Evans R, Ghezzi P.","Front Immunol. 2015 Dec 8;6:616. doi: 10.3389/fimmu.2015.00616. eCollection 2015.","Maki A","Front Immunol","2015","2015/12/24","PMC4672033","","10.3389/fimmu.2015.00616"
"31645311","What can Google Trends and Wikipedia-Pageview analysis tell us about the landscape of epilepsy surgery over time?","Kinney MO, Brigo F.","Epilepsy Behav. 2020 Feb;103(Pt A):106533. doi: 10.1016/j.yebeh.2019.106533. Epub 2019 Oct 20.","Kinney MO","Epilepsy Behav","2020","2019/10/25","","","10.1016/j.yebeh.2019.106533"
"32308860","Identification and Ranking of Biomedical Informatics Researcher Citation Statistics through a Google Scholar Scraper","McCoy AB, Sittig DF, Lin J, Wright A.","AMIA Annu Symp Proc. 2020 Mar 4;2019:655-663. eCollection 2019.","McCoy AB","AMIA Annu Symp Proc","2020","2020/04/21","PMC7153158","",""
"19155745","Your brain on Google: patterns of cerebral activation during internet searching","Small GW, Moody TD, Siddarth P, Bookheimer SY.","Am J Geriatr Psychiatry. 2009 Feb;17(2):116-26. doi: 10.1097/JGP.0b013e3181953a02.","Small GW","Am J Geriatr Psychiatry","2009","2009/01/22","","","10.1097/JGP.0b013e3181953a02"
"20480779","Getting to the top of Google: search engine optimization","Maley C, Baum N.","J Med Pract Manage. 2010 Mar-Apr;25(5):301-3.","Maley C","J Med Pract Manage","2010","2010/05/20","","",""
"26146521","Let me Google that for you: a time series analysis of seasonality in internet search trends for terms related to foot and ankle pain","Telfer S, Woodburn J.","J Foot Ankle Res. 2015 Jul 3;8:27. doi: 10.1186/s13047-015-0074-9. eCollection 2015.","Telfer S","J Foot Ankle Res","2015","2015/07/07","PMC4490673","","10.1186/s13047-015-0074-9"
"22615549","Google goes cancer: improving outcome prediction for cancer patients by network-based ranking of marker genes","Winter C, Kristiansen G, Kersting S, Roy J, Aust D, Knösel T, Rümmele P, Jahnke B, Hentrich V, Rückert F, Niedergethmann M, Weichert W, Bahra M, Schlitt HJ, Settmacher U, Friess H, Büchler M, Saeger HD, Schroeder M, Pilarsky C, Grützmann R.","PLoS Comput Biol. 2012;8(5):e1002511. doi: 10.1371/journal.pcbi.1002511. Epub 2012 May 17.","Winter C","PLoS Comput Biol","2012","2012/05/23","PMC3355064","","10.1371/journal.pcbi.1002511"
"23671568","Google matrix analysis of DNA sequences","Kandiah V, Shepelyansky DL.","PLoS One. 2013 May 9;8(5):e61519. doi: 10.1371/journal.pone.0061519. Print 2013.","Kandiah V","PLoS One","2013","2013/05/15","PMC3650020","","10.1371/journal.pone.0061519"
"32340801","Arteriovenous Fistula for dialysis - Let's Google it. Readability and quality of online information","Bresler RM, Lynch NP, Connolly M, Keelan S, Richter L, McHugh SM, Naughton PA.","Surgeon. 2020 Apr 25:S1479-666X(20)30043-3. doi: 10.1016/j.surge.2020.02.009. Online ahead of print.","Bresler RM","Surgeon","2020","2020/04/29","","","10.1016/j.surge.2020.02.009"
"18031414","Google and the mind: predicting fluency with PageRank","Griffiths TL, Steyvers M, Firl A.","Psychol Sci. 2007 Dec;18(12):1069-76. doi: 10.1111/j.1467-9280.2007.02027.x.","Griffiths TL","Psychol Sci","2007","2007/11/23","","","10.1111/j.1467-9280.2007.02027.x"
"22685626","Google in a quantum network","Paparo GD, Martin-Delgado MA.","Sci Rep. 2012;2:444. doi: 10.1038/srep00444. Epub 2012 Jun 8.","Paparo GD","Sci Rep","2012","2012/06/12","PMC3370332","","10.1038/srep00444"
"17613488","Language preferences on websites and in Google searches for human health and food information","Singh PM, Wight CA, Sercinoglu O, Wilson DC, Boytsov A, Raizada MN.","J Med Internet Res. 2007 Jun 28;9(2):e18. doi: 10.2196/jmir.9.2.e18.","Singh PM","J Med Internet Res","2007","2007/07/07","PMC1913940","","10.2196/jmir.9.2.e18"
"24091980","Quantum Google in a complex network","Paparo GD, Müller M, Comellas F, Martin-Delgado MA.","Sci Rep. 2013 Oct 4;3:2773. doi: 10.1038/srep02773.","Paparo GD","Sci Rep","2013","2013/10/05","PMC3790229","","10.1038/srep02773"
"22994899","Quantitative visualization of biological data in Google Earth using R2G2, an R CRAN package","Arrigo N, Albert LP, Mickelson PG, Barker MS.","Mol Ecol Resour. 2012 Nov;12(6):1177-9. doi: 10.1111/1755-0998.12012. Epub 2012 Sep 21.","Arrigo N","Mol Ecol Resour","2012","2012/09/22","","","10.1111/1755-0998.12012"
"25353851","Google matrix of the citation network of Physical Review","Frahm KM, Eom YH, Shepelyansky DL.","Phys Rev E Stat Nonlin Soft Matter Phys. 2014 May;89(5):052814. doi: 10.1103/PhysRevE.89.052814. Epub 2014 May 28.","Frahm KM","Phys Rev E Stat Nonlin Soft Matter Phys","2014","2014/10/30","","","10.1103/PhysRevE.89.052814"
"19792200","Delocalization transition for the Google matrix","Giraud O, Georgeot B, Shepelyansky DL.","Phys Rev E Stat Nonlin Soft Matter Phys. 2009 Aug;80(2 Pt 2):026107. doi: 10.1103/PhysRevE.80.026107. Epub 2009 Aug 7.","Giraud O","Phys Rev E Stat Nonlin Soft Matter Phys","2009","2009/10/02","","","10.1103/PhysRevE.80.026107"
"19528085","A CitationRank algorithm inheriting Google technology designed to highlight genes responsible for serious adverse drug reaction","Yang L, Xu L, He L.","Bioinformatics. 2009 Sep 1;25(17):2244-50. doi: 10.1093/bioinformatics/btp369. Epub 2009 Jun 15.","Yang L","Bioinformatics","2009","2009/06/17","","","10.1093/bioinformatics/btp369"
"20365846","Google matrix and Ulam networks of intermittency maps","Ermann L, Shepelyansky DL.","Phys Rev E Stat Nonlin Soft Matter Phys. 2010 Mar;81(3 Pt 2):036221. doi: 10.1103/PhysRevE.81.036221. Epub 2010 Mar 30.","Ermann L","Phys Rev E Stat Nonlin Soft Matter Phys","2010","2010/04/07","","","10.1103/PhysRevE.81.036221"
"20029008","Google governance: increasing the effectiveness of critical care physicians through the use of an online usergroup","Reid C, Harper S, Tzannes A, Habig K, Coombes S, Hayes S, Burns B, Oh C, Newcombe M, Fineberg SL, Tall G, Novy M.","Emerg Med J. 2010 Jan;27(1):50-1. doi: 10.1136/emj.2009.075713.","Reid C","Emerg Med J","2010","2009/12/24","","","10.1136/emj.2009.075713"
"20365838","Google matrix, dynamical attractors, and Ulam networks","Shepelyansky DL, Zhirov OV.","Phys Rev E Stat Nonlin Soft Matter Phys. 2010 Mar;81(3 Pt 2):036213. doi: 10.1103/PhysRevE.81.036213. Epub 2010 Mar 16.","Shepelyansky DL","Phys Rev E Stat Nonlin Soft Matter Phys","2010","2010/04/07","","","10.1103/PhysRevE.81.036213"
"18538152","Google obstetrics: who is educating our patients?","Kaimal AJ, Cheng YW, Bryant AS, Norton ME, Shaffer BL, Caughey AB.","Am J Obstet Gynecol. 2008 Jun;198(6):682.e1-5. doi: 10.1016/j.ajog.2008.03.030.","Kaimal AJ","Am J Obstet Gynecol","2008","2008/06/10","","","10.1016/j.ajog.2008.03.030"
"20866299","Spectral properties of the Google matrix of the World Wide Web and other directed networks","Georgeot B, Giraud O, Shepelyansky DL.","Phys Rev E Stat Nonlin Soft Matter Phys. 2010 May;81(5 Pt 2):056109. doi: 10.1103/PhysRevE.81.056109. Epub 2010 May 25.","Georgeot B","Phys Rev E Stat Nonlin Soft Matter Phys","2010","2010/09/28","","","10.1103/PhysRevE.81.056109"
