,OSS,ORS,OS,OS - Taxonomy Code,Title,URL
6052,X,,,,"Ultrasonography for neuraxial block
s: a review of the evidence.",/pubmed/27827521
6044,X,X,,,"Effect of anesthesia methods on pos
toperative major adverse cardiac ev
ents and mortality after non-cardia
c surgeries: a systematic review an
d meta-analysis.",/pubmed/28402094
6025,X,,,,"Percutaneous radiofrequency ablatio
n of painful spinal metastasis: a s
ystematic literature assessment of 
analgesia and safety.",/pubmed/29308694
6024,X,,,,"The Effect of Ketorolac on Thoracol
umbar Posterolateral Fusion: A Syst
ematic Review and Meta-Analysis.",/pubmed/29351095
6004,X,,,,"Measurement Techniques and Utility 
of Hounsfield Unit Values for Asses
sment of Bone Quality Prior to Spin
al Instrumentation: A Review of Cur
rent Literature.",/pubmed/30063528
5824,X,X,,,"Supplemental Oxygen and the Risk of
 Surgical Site Infection: Evidence 
of Compromised Data Requires Correc
tion of Previously Published Meta-a
nalysis.",/pubmed/31343461
5813,X,,,,"Minimally Invasive Posterior Cervic
al Foraminotomy as an Alternative t
o Anterior Cervical Discectomy and 
Fusion for Unilateral Cervical Radi
culopathy: A Systematic Review and 
Meta-Analysis.",/pubmed/31343619
5811,X,,,,"The Effectiveness of Lumbar Transfo
raminal Injection of Steroid for th
e Treatment of Radicular Pain: A Co
mprehensive Review of the Published
 Data.",/pubmed/31343693
5809,X,X,,,"Is Virtual Reality Effective in Ort
hopedic Rehabilitation? A Systemati
c Review and Meta-Analysis.",/pubmed/31343702
5793,X,X,,,"Bone age assessment with various ma
chine learning techniques: A system
atic literature review and meta-ana
lysis.",/pubmed/31344143
5765,X,X,,,"A systematic review of feeding prac
tices among postoperative patients:
 is practice in-line with evidenced
-based guidelines?",/pubmed/28589624
5762,X,X,,,"Reduction in Operating Room Plasma 
Waste After Evidence-Based Quality 
Improvement Initiative.",/pubmed/28786842
5738,X,,,,"Meta-analysis of percutaneous trans
foraminal endoscopic discectomy vs.
 fenestration discectomy in the tre
atment of lumbar disc herniation.",/pubmed/29404628
5688,X,X,,,"ISPAD Clinical Practice Consensus G
uidelines 2018: Management of child
ren and adolescents with diabetes r
equiring surgery.",/pubmed/30039617
5656,X,X,,,"Behaviour change techniques applied
 in interventions to enhance physic
al activity adherence in patients w
ith chronic musculoskeletal conditi
ons: A systematic review and meta-a
nalysis.",/pubmed/30279029
5593,X,,,,"Baduanjin exercise for low back pai
n: A systematic review and meta-ana
lysis.",/pubmed/30935517
5539,X,,,,"Rehabilitation interventions in ran
domized controlled trials for low b
ack pain: proof of statistical sign
ificance often is not relevant.",/pubmed/31331343
5537,X,,,,"Open versus minimally invasive TLIF
: literature review and meta-analys
is.",/pubmed/31331364
5535,X,,,,"Occipital nerve stimulation for non
-migrainous chronic headaches: a sy
stematic review protocol.",/pubmed/31331392
5508,X,X,,,"Meta-Analysis of Randomized Clinica
l Trials Comparing Active Treatment
 with Placebo in Metastatic Neuroen
docrine Tumors.",/pubmed/31332100
5487,X,X,,,"Association of Intraoperative Hypot
ension with Acute Kidney Injury, My
ocardial Injury and Mortality in No
ncardiac Surgery: A Meta-analysis.",/pubmed/31332896
5428,X,X,,,"An Evaluation of Publication Bias i
n High-Impact Orthopaedic Literatur
e.",/pubmed/31334464
5426,X,X,,,"What Systematic Reviews Exist for t
he Effectiveness of Orthopaedic Int
erventions.",/pubmed/31334473
5423,X,,,,"[Effectiveness of the virtual reali
ty in the rehabilitation of the upp
er limb in the spinal cord injury. 
A systematic review].",/pubmed/31334556
5422,X,X,,,"Work-break schedules for preventing
 musculoskeletal symptoms and disor
ders in healthy workers.",/pubmed/31334564
5419,X,X,,,"Effect of preoperative psychologica
l interventions on elective orthopa
edic surgery outcomes: a systematic
 review and meta-analysis.",/pubmed/31334592
5392,X,X,,,"Preemptive and Preventive Pain Psyc
hoeducation and Its Potential Appli
cation as a Multimodal Perioperativ
e Pain Control Option: A Systematic
 Review.",/pubmed/31335400
5372,X,,,,"Total disc replacement versus fusio
n for lumbar degenerative diseases 
- a meta-analysis of randomized con
trolled trials.",/pubmed/31335704
5369,X,,,,"Acupoint injection for nonspecific 
chronic low back pain: A protocol o
f systematic review.",/pubmed/31335709
5359,X,X,,,"Influence of prehospital physician 
presence on survival after severe t
rauma: Systematic review and meta-a
nalysis.",/pubmed/31335754
5358,X,,,,"Neurophysiological Effects of High 
Velocity and Low Amplitude Spinal M
anipulation in Symptomatic and Asym
ptomatic Humans: A Systematic Liter
ature Review.",/pubmed/31335790
5340,X,,,,"Deep sternal wound infections: Evid
ence for prevention, treatment, and
 reconstructive surgery.",/pubmed/31336416
5306,X,,,,"Effectiveness of Percutaneous Adhes
iolysis in Post Lumbar Surgery Synd
rome: A Systematic Analysis of Find
ings of Systematic Reviews.",/pubmed/31337160
5305,X,,,,"Percutaneous Endoscopic Debridement
 and Drainage for Spinal Infection:
 Systemic Review and Meta-Analysis.
",/pubmed/31337161
5302,X,X,,,"A Systematic Review of the Normal S
acroiliac Joint Anatomy and Adjacen
t Tissues for Pain Physicians.",/pubmed/31337164
5301,X,,,,"Efficacy and Safety of Surgical Int
erventions for Treating Multilevel 
Cervical Spondylotic Myelopathy via
 Anterior Approach: A Network Meta-
Analysis.",/pubmed/31337165
5266,X,X,,,"Tea consumption and risk of fractur
es: an updated meta-analysis.",/pubmed/31338520
5205,X,X,,,"Pathological fracture after radioth
erapy: systematic review of literat
ure.",/pubmed/31340323
5128,X,X,,,"The Influence of Preoperative Inter
ventions on Postoperative Surgical 
Wound Healing in Patients Without R
isk Factors: A Systematic Review.",/pubmed/29596560
5088,X,X,,,"Which Antimicrobial Agent is Likely
 to be the Best for Treating Clostr
idium difficile Infections? A Bayes
ian Network Meta-Analysis of Random
ized Clinical Trials.",/pubmed/30193396
5076,X,X,,,"Effects of vitamin D supplementatio
n on musculoskeletal health: a syst
ematic review, meta-analysis, and t
rial sequential analysis.",/pubmed/30293909
5039,X,X,,,"Manipulation-induced hypoalgesia in
 musculoskeletal pain populations: 
a systematic critical review and me
ta-analysis.",/pubmed/30719281
4973,X,,,,"Is blood transfusion associated wit
h an increased risk of infection am
ong spine surgery patients?: A meta
-analysis.",/pubmed/31305412
4961,X,X,,,"Low-dose ketamine in painful orthop
aedic surgery: a systematic review 
and meta-analysis.",/pubmed/31327465
4954,X,X,,,"A systematic review and meta-analys
is of endovascular versus open surg
ical repair for the traumatic ruptu
red thoracic aorta.",/pubmed/31327611
4941,X,,,,"Functional and Radiological Outcome
s of Combined Anterior-Posterior Ap
proach Versus Posterior Alone in Ma
nagement of Isthmic Spondylolisthes
is. A Systematic Review and Meta-An
alysis.",/pubmed/31328086
4936,X,,,,"A nonsurgical and nonpharmacologica
l care bundle for preventing upper 
urinary tract damage in patients wi
th spinal cord injury and neurogeni
c bladder.",/pubmed/31328348
4928,X,,,,"Unstable shoes for the treatment of
 lower back pain: a meta-analysis o
f randomized controlled trials.",/pubmed/31328545
4863,X,,,,"Spinal injury in alpine winter spor
ts: a review.",/pubmed/31324221
4844,X,X,,,"Long-term all-cause mortality in pe
ople treated for tuberculosis: a sy
stematic review and meta-analysis.",/pubmed/31324519
4838,X,X,,,"Poor prognosis of child and adolesc
ent musculoskeletal pain: a systema
tic literature review.",/pubmed/31324677
4837,X,X,,,"The efficacy of 3D printing-assiste
d surgery for traumatic fracture: a
 meta-analysis.",/pubmed/31324729
4818,X,,,,"Brace Treatment in AIS: Risk Factor
s for Failure - A Literature Review
.",/pubmed/31325626
4761,X,X,,,"The Effect of Perioperative Music o
n the Stress Response to Surgery: A
 Meta-analysis.",/pubmed/31326711
4700,X,X,,,"Use of multidomain management strat
egies by community dwelling adults 
with chronic pain: evidence from a 
systematic review.",/pubmed/30375350
4646,X,,,,"Surgical approaches and outcomes fo
r cervical myelopathy with increase
d signal intensity on T2-weighted M
RI: a meta-analysis.",/pubmed/31319870
4586,X,X,,,"Systematic review of economic evalu
ation studies of drug-based non-mal
ignant chronic pain treatment.",/pubmed/31322067
4559,X,X,,,"Instrument-Assisted Soft Tissue Mob
ilization: A Systematic Review and 
Effect-Size Analysis.",/pubmed/31322903
4538,X,,,,"The Use of Sacral Osteotomy in the 
Correction of Spinal Deformity | Te
chnical Report and Systematic Revie
w of the Literature.",/pubmed/31323414
4532,X,,,,"Asymptomatic spinal dural arteriove
nous fistula: case series and syste
matic review.",/pubmed/31323622
4404,X,X,,,"Prevalence, severity, and nature of
 preventable patient harm across me
dical care settings: systematic rev
iew and meta-analysis.",/pubmed/31315828
4381,X,X,,,"What Is the Appropriate Acupuncture
 Treatment Schedule for Chronic Pai
n? Review and Analysis of Randomize
d Controlled Trials.",/pubmed/31316572
4379,X,X,,,"Screening of the cervical spine in 
subacromial shoulder pain: A system
atic review.",/pubmed/31316592
4349,X,X,,,"Comparisons of hamstring flexibilit
y between individuals with and with
out low back pain: systematic revie
w with meta-analysis.",/pubmed/31317831
4344,X,X,,,"An Evaluation of the Effectiveness 
of the Modalities Used to Deliver E
lectronic Health Interventions for 
Chronic Pain: Systematic Review Wit
h Network Meta-Analysis.",/pubmed/31317869
4319,X,X,,,"Efficacy and Safety of Low-dose Cod
eine Containing Combination Analges
ics for Pain: Systematic Review and
 Meta-analysis.",/pubmed/31318725
4254,X,,,,"Effectiveness of mobilization with 
movement (Mulligan concept techniqu
es) on low back pain: a systematic 
review.",/pubmed/29843520
4237,X,,,,"Effectiveness of rehabilitation aft
er cervical disk surgery: a systema
tic review of controlled studies.",/pubmed/30458634
4161,X,,,,"Closing the Treatment Gap for Lumba
r Disc Herniation Patients with Lar
ge Annular Defects: A Systematic Re
view of Techniques and Outcomes in 
this High-risk Population.",/pubmed/31312540
4151,X,,,,"The bacteria-positive proportion in
 the disc tissue samples from surge
ry: a systematic review and meta-an
alysis.",/pubmed/31312913
4150,X,,,,"Systematic review of diagnostic acc
uracy of patient history, clinical 
findings, and physical tests in the
 diagnosis of lumbar spinal stenosi
s.",/pubmed/31312914
4125,X,,,,"Red Cell Distribution Width, Platel
et-to-Lymphocyte Ratio, and Mean Pl
atelet Volume in Ankylosing Spondyl
itis and Their Correlations with In
flammation: A Meta-analysis.",/pubmed/31313609
4118,X,X,,,"Myofascial pain syndrome and trigge
r points: evaluation and treatment 
in patients with musculoskeletal pa
in.",/pubmed/31313700
4098,X,X,,,"Effectiveness and safety of betrixa
ban extended prophylaxis for venous
 thromboembolism compared with stan
dard-duration prophylaxis intervent
ion in acute medically ill patients
: a systematic literature review an
d network meta-analysis.",/pubmed/31314619
4005,X,X,,,"Effect of physical interventions on
 physical performance and physical 
activity in older patients during h
ospitalization: a systematic review
.",/pubmed/30470205
4003,X,,,,Fetoscopic spina bifida repair.,/pubmed/30486637
4002,X,X,,,"Combining nerve and tendon transfer
s in tetraplegia: a proposal of a n
ew surgical strategy based on liter
ature review.",/pubmed/30542955
3977,X,X,,,"The Fragility Index in peri-operati
ve randomised trials that reported 
significant mortality effects in ad
ults.",/pubmed/31025706
3963,X,,,,"The association between headache an
d low back pain: a systematic revie
w.",/pubmed/31307372
3943,X,X,,,"Evidence-based prophylaxis strategi
es for postoperative nausea and vom
iting when considering ethnicity fa
ctor.",/pubmed/31307734
3920,X,X,,,"Virtual reality as an analgesic for
 acute and chronic pain in adults: 
a systematic review and meta-analys
is.",/pubmed/31308733
3910,X,X,,,"A current appraisal of evidence for
 the approach to sepsis and septic 
shock.",/pubmed/31308945
3869,X,X,,,"Effectiveness of Neurostimulation T
echnologies for the Management of C
hronic Pain: A Systematic Review.",/pubmed/31310417
3647,X,X,,,"An enhanced recovery after surgery 
program in orthopedic surgery: a sy
stematic review and meta-analysis.",/pubmed/30866978
3641,X,,,,"Postoperative Pain Management Follo
wing Craniosynostosis Repair: Curre
nt Practices and Future Directions.
",/pubmed/30896510
3621,X,X,,,"Survival analysis of intraoperative
 blood salvage for patients with ma
lignancy disease: A PRISMA-complian
t systematic review and meta-analys
is.",/pubmed/31277097
3566,X,,,,"A Systematic Review of Complication
s Following Minimally Invasive Spin
e Surgery Including Transforaminal 
Lumbar Interbody Fusion.",/pubmed/31302861
3505,X,X,,,"Effects of waiting for outpatient p
hysiotherapy services in persons wi
th musculoskeletal disorders: a sys
tematic review.",/pubmed/31304824
3499,X,,,,"Randomized Placebo-/Sham-Controlled
 Trials of Spinal Cord Stimulation:
 A Systematic Review and Methodolog
ical Appraisal.",/pubmed/31305001
3480,X,,,,"Is blood transfusion associated wit
h an increased risk of infection am
ong spine surgery patients?: A meta
-analysis.",/pubmed/31305412
3469,X,X,,,"Evidence for miniscalpel-needle/nee
dle knife in the management of chro
nic pain related conditions: A prot
ocol for systematic review and meta
-analysis.",/pubmed/31305481
3467,X,X,,,"Restrictive Transfusion Strategy an
d Clinical Decision Support Practic
es for Reducing RBC Transfusion Ove
ruse.",/pubmed/31305890
3420,X,,,,"Outcomes and risk factors for spont
aneous spondylodiscitis: Case serie
s and meta-analysis of the literatu
re.",/pubmed/31300250
3416,X,,,,"Corrigendum to ”What is the diagnos
tic accuracy of red flags related t
o cauda equina syndrome (CES), when
 compared to Magnetic Resonance Ima
ging (MRI)? A systematic review” [M
usculoskelet. Sci. Pract. 42 (2019)
 125-133].",/pubmed/31300389
3409,X,X,,,"Dual iliac screws in spinopelvic fi
xation: a systematic review.",/pubmed/31300882
3276,X,X,,,"Unmet Needs of Aboriginal Australia
ns With Musculoskeletal Pain: A Mix
ed-Method Systematic Review.",/pubmed/29245188
3258,X,,,,"Outcomes following minimally invasi
ve lateral transpsoas interbody fus
ion for degenerative low grade lumb
ar spondylolisthesis: A systematic 
review.",/pubmed/29476935
3209,X,,,,"Bone Graft Substitutes in Single- o
r Double-Level Anterior Cervical Di
scectomy and Fusion: A Systematic R
eview.",/pubmed/30395088
3177,X,,,,"Relationship Between Proprioception
 and Pain and Disability in People 
With Non-Specific Low Back Pain: A 
Systematic Review With Meta-Analysi
s.",/pubmed/30726200
2992,X,,,,"Dose-response association of operat
ive time and surgical site infectio
n in neurosurgery patients: A syste
matic review and meta-analysis.",/pubmed/31296347
2977,X,,,,"Systematic review of prognostic fac
tors for work participation in pati
ents with sciatica.",/pubmed/31296665
2959,X,,,,"Intra- and interobserver reliabilit
y of the Spinal Instability Neoplas
tic Score system for instability in
 spine metastases: a systematic rev
iew and meta-analysis.",/pubmed/31297383
2892,X,,,,"Pediatric primary spinal atypical t
eratoid rhabdoid tumor: a case seri
es and review of the literature.",/pubmed/31299639
2890,X,,,,"Nerve transfers in the upper extrem
ity following cervical spinal cord 
injury. Part 1: Systematic review o
f the literature.",/pubmed/31299644
2872,X,,,,"Stereotactic Radiosurgery for the T
reatment of Chronic Intractable Pai
n: A Systematic Review.",/pubmed/28521018
2824,X,X,,,"Perioperative, local and systemic w
arming in surgical site infection: 
a systematic review and meta-analys
is.",/pubmed/29131754
2811,X,X,,,"Use of factor concentrates for the 
management of perioperative bleedin
g: guidance from the SSC of the IST
H.",/pubmed/29168325
2804,X,X,,,"Should Transfusion Trigger Threshol
ds Differ for Critical Care Versus 
Perioperative Patients? A Meta-Anal
ysis of Randomized Trials.",/pubmed/29189348
2799,X,,,,"Evaluation of Cognitive Behavioral 
Interventions and Psychoeducation I
mplemented by Rehabilitation Specia
lists to Treat Fear-Avoidance Belie
fs in Patients With Low Back Pain: 
A Systematic Review.",/pubmed/29247627
2753,X,,,,"Is there a role for postoperative p
hysiotherapy in degenerative cervic
al myelopathy? A systematic review.
",/pubmed/29663830
2680,X,X,,,"Incidence of intracranial bleeding 
in anticoagulated patients with min
or head injury: a systematic review
 and meta-analysis of prospective s
tudies.",/pubmed/30028001
2679,X,X,,,"Accuracy of Internet-Based Patient 
Self-Report of Postdischarge Health
 Care Utilization and Complications
 Following Orthopedic Procedures: O
bservational Cohort Study.",/pubmed/30030212
2672,X,,,,"Carotid Intima-Media Thickness in P
atients with Ankylosing Spondylitis
: A Systematic Review and Updated M
eta-Analysis.",/pubmed/30089757
2657,X,,,,"Development of best practices to mi
nimize wound complications after co
mplex tethered spinal cord surgery:
 a modified Delphi study.",/pubmed/30215584
2656,X,,,,"Does patient selection account for 
the perceived cost savings in outpa
tient spine surgery? A meta-analysi
s of current evidence and analysis 
from an administrative database.",/pubmed/30215589
2650,X,,,,"Outcomes in socioeconomically disad
vantaged patients with spinal cord 
injury: a systematic review.",/pubmed/30265226
2633,X,X,,,"Patient outcomes related to the day
time versus after-hours surgery: A 
meta-analysis.",/pubmed/30390496
2628,X,,,,"Anesthetic challenges and outcomes 
for procedures in the intraoperativ
e magnetic resonance imaging suite:
 A systematic review.",/pubmed/30415150
2619,X,X,,,"Is patient-specific pre-operative p
reparation feasible in a clinical e
nvironment? A systematic review and
 meta-analysis.",/pubmed/30497290
2613,X,,,,"Effects of kinesiotape on pain and 
disability in individuals with chro
nic low back pain: a systematic rev
iew and meta-analysis of randomized
 controlled trials.",/pubmed/30526011
2479,X,X,,,"Radiofrequency neurotomy in chronic
 lumbar and sacroiliac joint pain: 
A meta-analysis.",/pubmed/31261580
2472,X,,,,"Acupuncture for lumbar myofascial p
ain Protocol for a systematic revie
w of randomized controlled trials.",/pubmed/31261598
2470,X,X,,,"Treatment of metastatic non-small c
ell lung cancer: 2018 guidelines of
 the Italian Association of Medical
 Oncology (AIOM).",/pubmed/31264531
2465,X,X,,,"Sufentanil Sublingual Tablet: A New
 Option for Acute Pain Management.",/pubmed/31280585
2433,X,X,,,"Acupuncture for Primary Osteoporosi
s: Evidence, Potential Treatment Pr
escriptions, and Mechanisms.",/pubmed/31281397
2371,X,X,,,"What Are the Applications and Limit
ations of Artificial Intelligence f
or Fracture Detection and Classific
ation in Orthopaedic Trauma Imaging
? A Systematic Review.",/pubmed/31283727
2360,X,,,,"Non-technical skills in Neurosurger
y : a systematic review of the lite
rature.",/pubmed/31284064
2353,X,,,,"Towards Guideline-Based Management 
of Tethered Cord Syndrome in Spina 
Bifida: A Global Health Paradigm Sh
ift in the Era of Prenatal Surgery.
",/pubmed/31284336
2317,X,,,,"Recommendations of the Mexican Coll
ege of Rheumatology for the Managem
ent of Spondyloarthritis.",/pubmed/31285162
2134,X,X,,,"Postoperative shared-care for patie
nts undergoing non-cardiac surgery:
 a systematic review and meta-analy
sis.",/pubmed/31290119
2110,X,,,,"Awareness and acceptability of Init
iative on Methods, Measurement, and
 Pain Assessment in Clinical Trials
 core outcome set for chronic pain 
among surveyed neuropathic pain aut
hors.",/pubmed/31290689
2105,X,X,,,"Non-pharmacological interventions u
sed during the perioperative period
 to prevent anxiety in adolescents:
 a scoping review protocol.",/pubmed/31290789
2103,X,X,,,"Interprofessional team-based primar
y health care for adults with intel
lectual and developmental disabilit
ies: a scoping review protocol.",/pubmed/31290791
2101,X,X,,,"Non-pharmacological interventions f
or pain management in adult victims
 of trauma: a scoping review protoc
ol.",/pubmed/31290793
